07-15-2023_18-15,0,737.0,737.0,737.0
07-15-2023_18-55,0,-43.98,-60.0,741.0
07-15-2023_19-02,1,351.58,-60.0,741.0
07-15-2023_19-05,2,741.22,741.0,752.0
07-15-2023_19-08,3,746.5,741.0,752.0
07-15-2023_19-13,4,752.0,752.0,752.0
07-15-2023_19-20,5,752.0,752.0,752.0
07-15-2023_19-26,6,773.64,741.0,1845.0
07-15-2023_19-32,7,1298.5,752.0,1845.0
07-15-2023_19-38,8,1845.62,1845.0,1866.0
07-15-2023_19-44,9,1860.5,1855.0,1866.0
07-15-2023_19-49,10,1868.06,1866.0,1938.0
07-15-2023_19-55,11,1944.06,1855.0,3017.0
07-15-2023_20-01,12,2647.0,2277.0,3017.0
07-15-2023_20-09,13,3017.0,3017.0,3017.0
07-15-2023_20-16,14,3017.0,3017.0,3017.0
07-15-2023_20-24,15,3017.0,3017.0,3017.0
07-15-2023_20-31,16,3017.0,3017.0,3017.0
07-15-2023_20-39,17,3017.0,3017.0,3017.0
07-15-2023_20-46,18,3017.0,3017.0,3017.0
07-15-2023_20-53,19,3017.0,3017.0,3017.0
07-15-2023_21-00,20,3017.0,3017.0,3017.0
07-15-2023_21-08,21,3017.0,3017.0,3017.0
07-15-2023_21-15,22,3017.0,3017.0,3017.0
07-15-2023_21-23,23,3017.0,3017.0,3017.0
07-15-2023_21-30,24,3017.0,3017.0,3017.0
07-15-2023_21-37,25,3017.0,3017.0,3017.0
07-15-2023_21-44,26,3017.0,3017.0,3017.0
07-15-2023_21-52,27,3017.0,3017.0,3017.0
07-15-2023_21-59,28,3017.0,3017.0,3017.0
07-15-2023_22-07,29,3017.0,3017.0,3017.0
07-15-2023_22-14,30,3017.0,3017.0,3017.0
07-15-2023_22-22,31,3017.0,3017.0,3017.0
07-15-2023_22-29,32,3017.0,3017.0,3017.0
07-15-2023_22-37,33,3017.0,3017.0,3017.0
07-15-2023_22-45,34,3017.0,3017.0,3017.0
07-15-2023_22-53,35,3017.0,3017.0,3017.0
07-15-2023_23-01,36,3017.0,3017.0,3017.0
07-15-2023_23-08,37,3017.0,3017.0,3017.0
07-15-2023_23-16,38,3017.0,3017.0,3017.0
07-15-2023_23-24,39,3017.0,3017.0,3017.0
07-15-2023_23-32,40,3017.0,3017.0,3017.0
07-15-2023_23-39,41,3017.0,3017.0,3017.0
07-15-2023_23-46,42,3017.0,3017.0,3017.0
07-15-2023_23-53,43,3017.0,3017.0,3017.0
07-16-2023_00-01,44,3017.0,3017.0,3017.0
07-16-2023_00-08,45,3017.0,3017.0,3017.0
07-16-2023_00-16,46,3017.0,3017.0,3017.0
07-16-2023_00-23,47,3017.0,3017.0,3017.0
07-16-2023_00-30,48,3017.0,3017.0,3017.0
07-16-2023_00-38,49,3017.0,3017.0,3017.0
07-16-2023_00-46,50,3017.0,3017.0,3017.0
07-16-2023_00-54,51,3017.0,3017.0,3017.0
07-16-2023_01-01,52,3017.0,3017.0,3017.0
07-16-2023_01-09,53,3017.0,3017.0,3017.0
07-16-2023_01-17,54,3017.0,3017.0,3017.0
07-16-2023_01-25,55,3017.0,3017.0,3017.0
07-16-2023_01-32,56,3017.0,3017.0,3017.0
07-16-2023_01-40,57,3017.0,3017.0,3017.0
07-16-2023_01-47,58,3017.0,3017.0,3017.0
07-16-2023_01-55,59,3017.0,3017.0,3017.0
07-16-2023_02-03,60,3017.0,3017.0,3017.0
07-16-2023_02-10,61,3017.0,3017.0,3017.0
07-16-2023_02-18,62,3017.0,3017.0,3017.0
07-16-2023_02-25,63,3017.0,3017.0,3017.0
07-16-2023_02-33,64,3017.0,3017.0,3017.0
07-16-2023_02-40,65,3017.0,3017.0,3017.0
07-16-2023_02-48,66,3017.0,3017.0,3017.0
07-16-2023_02-56,67,3017.0,3017.0,3017.0
07-16-2023_03-04,68,3017.0,3017.0,3017.0
